Date,Open,High,Low,Close,Adj Close,Volume
2010-08-12,1.414800,1.430260,1.222210,1.229370,1.229370,534718334
2010-08-13,1.288030,1.316360,1.245390,1.272010,1.272010,314048914
2010-08-16,1.201900,1.246820,1.188160,1.231370,1.231370,213862173
2010-08-17,1.225070,1.258560,1.218490,1.245970,1.245970,141945776
2010-08-18,1.247680,1.252550,1.194740,1.200460,1.200460,149123438
2010-08-19,1.200460,1.226510,1.193310,1.202470,1.202470,99921160
2010-08-20,1.192740,1.214490,1.187590,1.201900,1.201900,85394607
2010-08-23,1.204760,1.213060,1.144660,1.148100,1.148100,128250909
2010-08-24,1.151820,1.151820,1.114620,1.139230,1.139230,91911148
2010-08-25,1.127780,1.152680,1.116050,1.116330,1.116330,66310133
2010-08-26,1.126060,1.134650,1.106320,1.130350,1.130350,60174386
2010-08-27,1.121770,1.138650,1.117480,1.136080,1.136080,47673373
2010-08-30,1.140370,1.157540,1.139510,1.148950,1.148950,62786684
2010-08-31,1.144950,1.150100,1.133220,1.141800,1.141800,52760322
2010-09-01,1.143520,1.193020,1.143520,1.170700,1.170700,94369934
2010-09-02,1.169270,1.193020,1.157250,1.180430,1.180430,84624039
2010-09-03,1.176710,1.198180,1.165270,1.179000,1.179000,76866748
2010-09-06,1.181860,1.187300,1.116050,1.126350,1.126350,80905877
2010-09-07,1.128350,1.138080,1.119190,1.130070,1.130070,30067100
2010-09-08,1.116050,1.127210,1.110320,1.123200,1.123200,42244034
2010-09-09,1.120340,1.137510,1.115470,1.120340,1.120340,46614965
2010-09-10,1.113180,1.124630,1.092870,1.101170,1.101170,50035921
2010-09-13,1.104600,1.127490,1.099450,1.127490,1.127490,47620781
2010-09-14,1.137510,1.141230,1.107460,1.113180,1.113180,36398923
2010-09-15,1.101740,1.112610,1.032490,1.038780,1.038780,67658234
2010-09-16,1.037350,1.046510,0.995860,1.013880,1.013880,52705144
2010-09-17,1.015890,1.034490,1.001870,1.008450,1.008450,29277732
2010-09-20,1.013030,1.018180,0.989560,0.990420,0.990420,22228352
2010-09-21,0.998720,0.998720,0.955790,0.958080,0.958080,31993397
2010-09-27,0.957800,0.970100,0.957220,0.970100,0.970100,21977938
2010-09-28,0.990130,1.067110,0.990130,1.067110,1.067110,104372463
2010-09-29,1.048510,1.073690,1.021900,1.070260,1.070260,86875148
2010-09-30,1.059100,1.077410,1.053380,1.063960,1.063960,39199888
2010-10-08,1.075410,1.093150,1.063960,1.075700,1.075700,49796549
2010-10-11,1.075410,1.075410,1.037060,1.042500,1.042500,46139191
2010-10-12,1.042790,1.065970,1.038780,1.041070,1.041070,27348464
2010-10-13,1.035920,1.035920,1.016460,1.031050,1.031050,38188830
2010-10-14,1.053660,1.054520,1.019320,1.020750,1.020750,37187557
2010-10-15,1.017320,1.026480,0.986130,1.004440,1.004440,34709936
2010-10-18,1.011600,1.011600,0.975820,1.009020,1.009020,27643293
2010-10-19,1.015320,1.093150,1.009880,1.062530,1.062530,65752379
2010-10-20,1.044500,1.081710,1.039350,1.063110,1.063110,52125236
2010-10-21,1.068260,1.093150,1.047370,1.078560,1.078560,45022845
2010-10-22,1.075980,1.104310,1.073120,1.090000,1.090000,49144409
2010-10-25,1.090290,1.143800,1.090000,1.135790,1.135790,74106178
2010-10-26,1.138940,1.141800,1.109460,1.122340,1.122340,39608008
2010-10-27,1.126060,1.140080,1.093150,1.094870,1.094870,35870278
2010-10-28,1.090290,1.121770,1.087430,1.112040,1.112040,39132165
2010-10-29,1.090290,1.173280,1.087430,1.147240,1.147240,76479944
2010-11-01,1.161260,1.169850,1.116050,1.152100,1.152100,98551324
2010-11-02,1.154390,1.154390,1.106030,1.114040,1.114040,58618399
2010-11-03,1.106600,1.106600,1.078840,1.080560,1.080560,44945617
2010-11-04,1.078840,1.111180,1.078270,1.102310,1.102310,28129096
2010-11-05,1.104890,1.112610,1.087430,1.098300,1.098300,30968081
2010-11-08,1.104600,1.141510,1.103170,1.132930,1.132930,39075624
2010-11-09,1.133790,1.150390,1.121770,1.132360,1.132360,36717584
2010-11-10,1.132640,1.201040,1.124630,1.187590,1.187590,77928091
2010-11-11,1.177860,1.261990,1.176140,1.210480,1.210480,121961439
2010-11-12,1.201900,1.227650,1.122340,1.133220,1.133220,127096997
2010-11-15,1.132640,1.201900,1.130930,1.199030,1.199030,77773425
2010-11-16,1.207620,1.224220,1.138940,1.160400,1.160400,95140327
2010-11-17,1.142950,1.216200,1.138940,1.165550,1.165550,89320725
2010-11-18,1.184440,1.258840,1.149810,1.248830,1.248830,101508667
2010-11-19,1.247680,1.302050,1.234800,1.290610,1.290610,123643507
2010-11-22,1.274870,1.310350,1.248540,1.269140,1.269140,114559571
2010-11-23,1.258840,1.359000,1.249110,1.356140,1.356140,127870046
2010-11-24,1.344980,1.421960,1.336390,1.416230,1.416230,118669569
2010-11-25,1.419380,1.431110,1.350700,1.377030,1.377030,71553391
2010-11-26,1.367590,1.514670,1.367590,1.514670,1.514670,111799247
2010-11-29,1.504370,1.570190,1.496930,1.517820,1.517820,104084658
2010-11-30,1.519540,1.519540,1.378170,1.432830,1.432830,114028236
2010-12-01,1.428540,1.545010,1.425390,1.481480,1.481480,61121879
2010-12-02,1.488060,1.512960,1.430830,1.464600,1.464600,36790025
2010-12-03,1.467740,1.470320,1.373590,1.422240,1.422240,86463254
2010-12-06,null,null,null,null,null,null
2010-12-07,1.374450,1.439130,1.336680,1.431690,1.431690,69015455
2010-12-08,1.413660,1.473750,1.402210,1.418240,1.418240,44607107
2010-12-09,1.453150,1.502370,1.418810,1.430830,1.430830,82097879
2010-12-10,1.464880,1.573910,1.461450,1.573910,1.573910,94811741
2010-12-13,1.731300,1.731300,1.731300,1.731300,1.731300,23589137
2010-12-14,1.819730,1.904430,1.783670,1.847200,1.847200,219464803
2010-12-15,1.832600,1.866940,1.756480,1.791970,1.791970,101541900
2010-12-16,1.831460,1.971110,1.805990,1.917020,1.917020,187001294
2010-12-17,1.860080,1.885260,1.802840,1.842910,1.842910,99054424
